X,Y,Z,MD,TVD
2179112.086,502621.15,-6673.235021,10902.5,8700.235021
2179123.129,502575.177,-6677.77121,10950,8704.77121
2179134.029,502529.6812,-6682.259639,10997,8709.259639
2179145.044,502484.2116,-6686.731737,11044,8713.731737
2179156.162,502438.2555,-6691.257605,11091.5,8718.257605
2179167.135,502392.2674,-6695.812356,11139,8722.812356
2179177.93,502346.7506,-6700.33956,11186,8727.33956
2179188.745,502301.2397,-6704.879012,11233,8731.879012
2179199.741,502255.2603,-6709.464702,11280.5,8736.464702
2179210.85,502209.3063,-6714.033888,11328,8741.033888
2179221.988,502163.3571,-6718.582438,11375.5,8745.582438
2179233.07,502117.3921,-6723.10623,11423,8750.10623
2179243.985,502071.8989,-6727.582402,11470,8754.582402
2179254.857,502026.3976,-6732.083071,11517,8759.083071
2179265.705,501980.8953,-6736.628646,11564,8763.628646
2179276.552,501935.3993,-6741.239533,11611,8768.239533
2179287.523,501889.4199,-6745.887096,11658.5,8772.887096
2179298.512,501843.4358,-6750.443895,11706,8777.443895
2179309.33,501797.9214,-6754.940491,11753,8781.940491
2179320.019,501752.3831,-6759.502406,11800,8786.502406
2179330.836,501706.3674,-6764.15205,11847.5,8791.15205
2179341.808,501660.3899,-6768.81407,11895,8795.81407
2179352.764,501614.9202,-6773.427,11942,8800.427
2179363.764,501569.4598,-6778.027684,11989,8805.027684
2179371.057,501539.1371,-6781.034502,12020.33333,8808.034502
2179378.24,501508.7771,-6783.928822,12051.66667,8810.928822
2179385.311,501478.3806,-6786.710566,12083,8813.710566
2179396.005,501432.2735,-6790.689395,12130.5,8817.689395
2179406.812,501386.1676,-6794.362479,12178,8821.362479
2179417.76,501340.0878,-6797.946717,12225.5,8824.946717
2179428.875,501294.0581,-6801.659076,12273,8828.659076
2179436.156,501264.0174,-6803.993306,12304,8830.993306
2179443.384,501233.9447,-6806.066693,12335,8833.066693
2179450.558,501203.8422,-6807.879084,12366,8834.879084
2179461.416,501158.1881,-6810.453553,12413,8837.453553
2179472.316,501112.547,-6813.077164,12460,8840.077164
2179479.566,501081.7739,-6814.850415,12491.66667,8841.850415
2179486.598,501050.949,-6816.601636,12523.33333,8843.601636
2179493.411,501020.0737,-6818.330739,12555,8845.330739
2179500.026,500989.5008,-6820.126221,12586.33333,8847.126221
2179506.608,500958.9324,-6822.112759,12617.66667,8849.112759
2179513.154,500928.3694,-6824.290276,12649,8851.290276
2179522.984,500882.5389,-6827.718157,12696,8854.718157
2179532.884,500836.7264,-6831.182853,12743,8858.182853
2179542.933,500790.4371,-6834.703006,12790.5,8861.703006
2179552.993,500744.1505,-6838.22316,12838,8865.22316
2179563.108,500697.8748,-6841.730917,12885.5,8868.730917
2179573.321,500651.6187,-6845.21387,12933,8872.21387
2179583.442,500605.8529,-6848.660158,12980,8875.660158
2179593.498,500560.0749,-6852.130988,13027,8879.130988
2179603.497,500514.2842,-6855.601818,13074,8882.601818
2179613.444,500468.4803,-6859.048105,13121,8886.048105
2179623.556,500422.2067,-6862.588942,13168.5,8889.588942
2179633.84,500375.9817,-6866.270307,13216,8893.270307
2179644.03,500330.2451,-6869.894513,13263,8896.894513
2179654.079,500284.4637,-6873.342854,13310,8900.342854
2179664.313,500238.2073,-6876.757635,13357.5,8903.757635
2179674.844,500192.0205,-6880.209625,13405,8907.209625
2179685.315,500146.3403,-6883.743868,13452,8910.743868
2179695.59,500100.6318,-6887.478484,13499,8914.478484
2179705.908,500054.4193,-6891.221818,13546.5,8918.221818
2179716.285,500008.1997,-6894.700629,13594,8921.700629
2179726.537,499962.4591,-6898.093739,13641,8925.093739
2179736.694,499916.7099,-6901.650461,13688,8928.650461
2179746.787,499870.9545,-6905.307372,13735,8932.307372
2179756.848,499825.1948,-6909.001083,13782,8936.001083
2179766.965,499778.9329,-6912.682434,13829.5,8939.682434
2179777.011,499732.6447,-6916.223257,13877,8943.223257
2179786.968,499686.8399,-6919.624552,13924,8946.624552
2179797.031,499641.0532,-6922.96039,13971,8949.96039
2179807.1,499595.2686,-6926.308501,14018,8953.308501
2179817.075,499549.4703,-6929.74661,14065,8956.74661
2179826.938,499503.6561,-6933.293113,14112,8960.293113
2179836.672,499457.8241,-6936.966387,14159,8963.966387
2179846.336,499411.9754,-6940.615117,14206,8967.615117
2179855.991,499366.1111,-6944.087988,14253,8971.087988
2179865.693,499320.2569,-6947.560866,14300,8974.560866
2179875.501,499274.4388,-6951.209603,14347,8978.209603
2179882.185,499243.9294,-6953.698047,14378.33333,8980.698047
2179889.089,499213.4686,-6956.181103,14409.66667,8983.181103
2179896.212,499183.0579,-6958.658644,14441,8985.658644
2179907.178,499136.993,-6962.377186,14488.5,8989.377186
2179918.145,499090.923,-6966.029605,14536,8993.029605
2179928.972,499045.3262,-6969.567921,14583,8996.567921
2179939.748,498999.7109,-6973.020344,14630,9000.020344
